model,terms,fold,log_loss,auc,accuracy,f1
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,47,0.5137154417441041,0.8180803571428571,0.7166666666666667,0.6909090909090909
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,47,0.561398766608978,0.7756696428571428,0.6666666666666666,0.6
interaction_only_no_x2_x3_mains,x1 + x2_x3,47,0.5364299439043976,0.8002232142857143,0.7333333333333333,0.6923076923076923
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,48,0.5221469978366053,0.8125,0.7666666666666667,0.7586206896551724
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,48,0.5101124630233753,0.8113839285714286,0.7833333333333333,0.7796610169491526
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,48,0.5063594602793646,0.8247767857142858,0.75,0.7368421052631579
interaction_only_no_x2_x3_mains,x1 + x2_x3,48,0.49601052858960665,0.8348214285714286,0.7666666666666667,0.7666666666666667
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,49,0.5459136712499945,0.8197997775305896,0.7666666666666667,0.7407407407407407
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,49,0.5467288280691077,0.8153503893214683,0.7833333333333333,0.7719298245614035
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,49,0.5095931882244867,0.8253615127919911,0.7333333333333333,0.7037037037037037
interaction_only_no_x2_x3_mains,x1 + x2_x3,49,0.5103016840291826,0.8264738598442714,0.7333333333333333,0.6923076923076923
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,50,0.5253760063198607,0.8097886540600667,0.7166666666666667,0.7213114754098361
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,50,0.5349341876702572,0.7986651835372636,0.75,0.7540983606557377
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,50,0.5292887059699328,0.8120133481646274,0.7666666666666667,0.7666666666666667
interaction_only_no_x2_x3_mains,x1 + x2_x3,50,0.5397602532291808,0.7997775305895439,0.7833333333333333,0.7796610169491526
